,name,address
0,흥덕지구점,"경기도 용인시 기흥구  흥덕1로 79번길 9, 105호"
1,휘닉스점,강원도 평창군 봉평면 무이리 694-14번지 1층
2,후곡점,경기도 고양시 일산서구  일산로 576
3,효자중화산1호점,전라북도 전주시완산구  안행로 154
4,회덕점,경기도 광주시  이배재로 108
5,황상인의점,경상북도 구미시  여현로 80
6,화천점,강원도 화천군 화천읍 중앙로 37번지
7,화양점,"서울특별시 광진구   능동로19길 53, 1층"
8,화성반월점,"경기도 화성시  효행로1265번길 17, 101호"
9,화성마도점,경기도 화성시 마도면 두곡서길 35 1층
10,화성남양점,경기도 화성시 남양동 남양도시개발구역 2-1블럭 화성남양상가 103
11,화서1동점,경기도 수원시 팔달구 화서동 219-1번지 101호
12,화북삼양점,제주도 제주시  진동로1길 13
13,화곡본동점,서울특별시 강서구 화곡본동 29-27번지
14,화곡4동점,서울특별시 강서구 화곡4동 827-8번지
15,홍천점,강원도 홍천군 홍천읍 연봉리 502-5번지
16,홍제2호점,"서울특별시 서대문구  문화촌길 34, 아동 지층 1호"
17,홍제1호점,서울특별시 서대문구 홍제동 155-6번지
18,홍은2동점,"서울특별시 서대문구  백련사길 6, 1층"
19,홍성읍점,충청남도 홍성군 홍성읍 문화로 33번길 10
20,홍농읍점,"전라남도 영광군 홍농읍 상하길 33, 102호"
21,호평점,경기도 남양주시 호평동 615-6
22,호원1호점,"경기도 의정부시 호원동 419 상가동 1층 104,105호(현대아파트)"
23,"호수동점(구,고잔점","경기도 안산시 단원구  광덕2로 194-8, 108호"
24,호매실점,"경기도 수원시권선구  서수원로523번길 30-35, 101호"
25,현풍점,대구광역시 달성군 현풍면 현풍중앙로14길 85
26,향남지구점,경기도 화성시 향납읍 행정서로3길 4-16
27,향남2지구점,경기도 화성시 향남읍 상신하길로298번길 7-27(1층 111호)
28,행신2호점,"경기도 고양시 덕양구  중앙로 478, 109호"
29,행당점,서울특별시 성동구  행당로 79
30,해운대중동점,"부산광역시 해운대구  달맞이길65번길 15, 103호"
31,해운대좌4동점,부산광역시 해운대구 좌4동 1413번지 삼상@ 분산상가 103호
32,해남점,전라남도 해남군 해남읍 중앙2로 33
33,함열점,전라북도 익산시 함열읍 함열1길 28
34,함안칠원점,경상남도 함안군 칠원읍 구성길 43
35,함안가야점,경상남도 함안군 가야읍 가야로 135
36,한성대점,서울특별시 성북구  삼선교로2길 3
37,한남대점,대전광역시 동구  홍도로 54
38,학익점,인천광역시 남구 매소홀로 409
39,하월곡점,"서울특별시 성북구  오패산로 10길 46, 102호"
40,"하안3,4동점",경기도 광명시  하안로 254
41,하복대점,충청북도 청주시흥덕구  죽천로 120
42,하당지구점,전라남도 목포시  옥암로96번길 14
43,하늘도시1호점,"인천광역시 중구  하늘달빛로 64번길 6-3, 스카이프라자 105호"
44,하남신장점,경기도 하남시 신장동 427-134번지
45,풍향산수점,광주광역시 북구 풍향동 579-5번지
46,풍덕천2동점,경기도 용인시 수지구 풍덕천2동 504-10번지 104호
47,풍납1호점,서울특별시 송파구  풍성로24길 40
48,풍기점,경상북도 영주시 풍기읍 기주로 89
49,표선점,제주도 서귀포시 표선면 표선중앙로 106
50,포항흥해점,경상북도 포항시 북구 흥해읍 한동로 40번길 20
51,포항효곡점,경상북도 포항시 남구  효자동길10번길 27
52,포항죽도점,"경상북도 포항시 북구 죽파로 24, 1층 101호"
53,포항오천점,"경상북도 포항시 남구 오천읍 해병로 127, 214동 107호"
54,포항양포점,경상북도 포항시남구  동해안로3268
55,포항양덕점,경상북도 포항시 북구 양덕동 1779번지
56,포항두호우현점,"경상북도 포항시 북구  새천년대로 1020길 12, 213동 106호"
57,포항동해점,경상북도 포항시남구  일월로 100
58,포항대이양학점,"경상북도 포항시 북구  이동로 48-1, 205호"
59,포천점,경기도 포천시  원앙로 18-2
60,포천일동점,경기도 포천시 일동면 기산6리 91-36
61,포천운천점,경기도 포천시 영북면 운천로 6-1
62,평택포승점,경기도 평택시 포승읍 도곡리 1141-17
63,평택팽성점,"경기도 평택시 팽성읍 송화택지로 72, A 1층"
64,평택안중점,경기도 평택시 안중읍 안현로서7길 10
65,평택고덕점,"경기도 평택시 고덕면 효덕새싹길 24-3, 101호"
66,평촌스마트점,"경기도 안양시 동안구 관양동 시민대로327번길 7, 1층(대명글로벌 비즈스퀘어)"
67,평내점,경기도 남양주시  경춘로1286번안길 4-2
68,파주교하점,경기도 파주시  책향기로 369
69,퇴계원점,"경기도 남양주시 퇴계원면 퇴계원로 74, 2층 우측호"
70,통진점,경기도 김포시 통진읍 서암리 1113 서암주공아파트 제상가동 101호
71,통영죽림점,경상남도 통영시 광도면 죽림4로 23-48
72,통영무전북신점,경상남도 통영시  안개로 30
73,통영도남미수점,경상남도 통영시  도남로 81
74,"태평2,4동점","경기도 성남시 수정구  탄리로 96번길 20, 102호"
75,태장우산점,"강원도 원주시 북원로2718번길 2, 1층(태장동)"
76,태백점,강원도 태백시  상장남길 67
77,탄현점,경기도 고양시일산서구 현중로 26번길 81
78,칠금문화점,충청북도 충주시  칠금3길 16-1
79,칠곡왜관점,경상북도 칠곡군 왜관읍 2번도로길 64
80,칠곡오태북삼점,경상북도 칠곡군 북삼읍 북삼로 109
81,충효탑정점,경상북도 경주시  충효녹지길 6-17
82,충북증평읍점,충청북도 증평군 증평읍 초중로 45
83,충북제천1호점,충청북도 제천시  의림대로 190
84,충북옥천점,충청북도 옥천군 옥천읍 금장로 62
85,충북옥산점,충청북도 청주시 흥덕구 옥산면 가락길 60 코오롱하늘채 201~2
86,충북오창점,충청북도 청원군 오창읍 구룡리 408-6번지
87,충북괴산점,충청북도 괴산군 괴산읍 읍내로13길 21
88,충무로점,서울특별시 중구 충무로4가 120-3 진양상가 2층
89,충무공점,경상남도 진주시 충무공동 282-6 가온누리 빌딩 107호
90,충남합덕점,충청남도 당진시 합덕읍 미락4길 33
91,충남태안점,충청남도 태안군 태안읍 동문리 터널길 25
92,충남당진점,충청남도 당진시  읍내동 1096
93,충남논산점,충청남도 논산시  내동 1169번지 101호
94,춘천후평점,"강원도 춘천시  부평길 8, 1층 우측"
95,춘천효자점,강원도 춘천시 효자2동 665-1번지
96,춘천소양점,강원도 춘천시 소양로2가 1-63번지
97,춘천석사점,강원도 춘천시 석사동 642번지
98,청파점,서울특별시 용산구  청파로 333
99,청주율량사천점,충청북도 청주시청원구  율천북로 55
100,청주용암점,충청북도 청주시 상당구 용암동 2183번지
101,청주분평점,충청북도 청주시서원구  수영로 19-2
102,청주봉명점,충청북도 청주시 흥덕구  과상미로 62
103,청주금천점,충청북도 청주시 상당구  중고개로 273번길 64
104,청주강서지구점,충청북도 청주시흥덕구  서현북로 24
105,청주가경점,충청북도 청주시 흥덕구  장구봉로 26번길 44
106,청북점,경기도 평택시 청북읍 옥길리 1165-5
107,청룡점,"서울특별시 관악구  쑥고개로 89, 1층"
108,청라2호점,인천광역시 서구 경서동 981-93 1층 101호
109,청라1호점,"인천광역시 서구  청라라임로 100,104호"
110,청담점,서울특별시 강남구 청담동 35-1 1층
111,첨단2호점,광주광역시 북구  첨단연산로91번길 44 (대성빌딩 112호)
112,"철산3,4동점",경기도 광명시  도덕공원로 23
113,천호3동점,"서울특별시 강동구  구천면로 238, 103호"
114,천호1동점,서울특별시 강동구 천호1동 224-50번지
115,천진점,강원도 고성군 토성면 토성로 145
116,천안청수점,충청남도 천안시 동남구 청수동 204번지
117,천안차암점,충청남도 천안시 서북구 차암동 435-1힐링제이타워 1층 115호
118,천안직산점,"충청남도 천안시서북구 직산읍 삼은3길 38, 102호"
